kind,size,round,baseline_comparisons,candidate_comparisons,baseline_scratch_bytes,candidate_scratch_bytes,source_bytes,baseline_median_ms,candidate_median_ms,change_percent
unique,256,1,32640,2273,0,4096,0,0.349800,0.024100,-93.110
unique,256,2,32640,2273,0,4096,0,0.370900,0.019300,-94.796
unique,256,3,32640,2273,0,4096,0,0.335300,0.019200,-94.274
unique,512,1,130816,5260,0,8192,0,1.061100,0.043300,-95.919
unique,512,2,130816,5260,0,8192,0,1.372800,0.042200,-96.926
unique,512,3,130816,5260,0,8192,0,1.324900,0.041200,-96.890
unique,1024,1,523776,11840,0,16384,0,4.957400,0.105500,-97.872
unique,1024,2,523776,11840,0,16384,0,3.533600,0.104000,-97.057
unique,1024,3,523776,11840,0,16384,0,4.495600,0.104900,-97.667
unique,2048,1,2096128,25286,0,32768,0,18.225500,0.365800,-97.993
unique,2048,2,2096128,25286,0,32768,0,16.298500,0.264500,-98.377
unique,2048,3,2096128,25286,0,32768,0,16.444300,0.416100,-97.470
unique,4096,1,8386560,54407,0,65536,0,76.199900,0.761900,-99.000
unique,4096,2,8386560,54407,0,65536,0,59.959000,0.973900,-98.376
unique,4096,3,8386560,54407,0,65536,0,64.939800,0.763100,-98.825
unique,8192,1,33550336,117620,0,131072,0,251.039500,1.404100,-99.441
unique,8192,2,33550336,117620,0,131072,0,229.987200,1.493600,-99.351
unique,8192,3,33550336,117620,0,131072,0,227.449900,1.881600,-99.173
corridors,128,1,,,0,5120,85320,26.013900,0.686900,-97.359
corridors,128,2,,,0,5120,85320,19.798700,0.986500,-95.017
corridors,128,3,,,0,5120,85320,25.022400,0.932600,-96.273
corridors,256,1,,,0,10240,169800,109.803800,1.113800,-98.986
corridors,256,2,,,0,10240,169800,102.785800,1.075600,-98.954
corridors,256,3,,,0,10240,169800,81.803100,1.362600,-98.334
corridors,512,1,,,0,20480,338760,390.353900,3.838600,-99.017
corridors,512,2,,,0,20480,338760,375.972600,3.036700,-99.192
corridors,512,3,,,0,20480,338760,340.253900,2.601000,-99.236
corridors,1024,1,,,0,40960,676680,1553.695100,6.418400,-99.587
corridors,1024,2,,,0,40960,676680,1224.043800,5.863600,-99.521
corridors,1024,3,,,0,40960,676680,1393.434500,6.552800,-99.530
corridors,2048,1,,,0,81920,1352520,6216.752600,11.729200,-99.811
corridors,2048,2,,,0,81920,1352520,5037.197100,12.903800,-99.744
corridors,2048,3,,,0,81920,1352520,5003.991600,14.073400,-99.719
