case,n,k,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
runtime_sources,100000,100000,0,32,89869300,32,480,83886080,83883520
runtime_sources,100000,100000,1,32,93399400,32,480,83886080,83883520
runtime_sources,100000,100000,2,32,90316400,32,480,83886080,83883520
runtime_sources,100000,100000,3,32,99732100,32,480,83886080,83883520
runtime_sources,100000,100000,4,32,90549600,32,480,83886080,83883520
runtime_sources,100000,100000,5,32,96957900,32,480,83886080,83883520
runtime_sources,100000,100000,6,32,88909700,32,480,83886080,83883520
spatial_full,100000,100000,0,32,501185800,0,0,0,0
spatial_full,100000,100000,1,32,497067900,0,0,0,0
spatial_full,100000,100000,2,32,500735100,0,0,0,0
spatial_full,100000,100000,3,32,507067600,0,0,0,0
spatial_full,100000,100000,4,32,539287300,0,0,0,0
spatial_full,100000,100000,5,32,549450100,0,0,0,0
spatial_full,100000,100000,6,32,537044600,0,0,0,0
record_copy_kernel,100000,100000,0,32,6520400,0,0,0,0
record_copy_kernel,100000,100000,1,32,5776700,0,0,0,0
record_copy_kernel,100000,100000,2,32,5524200,0,0,0,0
record_copy_kernel,100000,100000,3,32,5367700,0,0,0,0
record_copy_kernel,100000,100000,4,32,5184300,0,0,0,0
record_copy_kernel,100000,100000,5,32,5140600,0,0,0,0
record_copy_kernel,100000,100000,6,32,5165500,0,0,0,0
record_swap_kernel,100000,100000,0,32,300,0,0,0,0
record_swap_kernel,100000,100000,1,32,300,0,0,0,0
record_swap_kernel,100000,100000,2,32,200,0,0,0,0
record_swap_kernel,100000,100000,3,32,200,0,0,0,0
record_swap_kernel,100000,100000,4,32,200,0,0,0,0
record_swap_kernel,100000,100000,5,32,200,0,0,0,0
record_swap_kernel,100000,100000,6,32,200,0,0,0,0
adapter_full,100000,100000,0,32,670979300,32,480,83886080,83883520
adapter_full,100000,100000,1,32,671256500,32,480,83886080,83883520
adapter_full,100000,100000,2,32,620765700,32,480,83886080,83883520
adapter_full,100000,100000,3,32,595348800,32,480,83886080,83883520
adapter_full,100000,100000,4,32,612314700,32,480,83886080,83883520
adapter_full,100000,100000,5,32,597695900,32,480,83886080,83883520
adapter_full,100000,100000,6,32,609319100,32,480,83886080,83883520
product_selected_probe,100000,100000,0,32,558376900,0,0,0,0
product_selected_probe,100000,100000,1,32,548839300,0,0,0,0
product_selected_probe,100000,100000,2,32,562956300,0,0,0,0
product_selected_probe,100000,100000,3,32,547978700,0,0,0,0
product_selected_probe,100000,100000,4,32,550324300,0,0,0,0
product_selected_probe,100000,100000,5,32,544409400,0,0,0,0
product_selected_probe,100000,100000,6,32,565517100,0,0,0,0
transform_full_before_select,100000,100000,0,32,346620800,0,0,0,0
transform_full_before_select,100000,100000,1,32,349097000,0,0,0,0
transform_full_before_select,100000,100000,2,32,348405300,0,0,0,0
transform_full_before_select,100000,100000,3,32,356357200,0,0,0,0
transform_full_before_select,100000,100000,4,32,355562900,0,0,0,0
transform_full_before_select,100000,100000,5,32,352710400,0,0,0,0
transform_full_before_select,100000,100000,6,32,355035000,0,0,0,0
transform_selected,100000,100000,0,32,346463900,0,0,0,0
transform_selected,100000,100000,1,32,351360300,0,0,0,0
transform_selected,100000,100000,2,32,356520500,0,0,0,0
transform_selected,100000,100000,3,32,349953100,0,0,0,0
transform_selected,100000,100000,4,32,344922300,0,0,0,0
transform_selected,100000,100000,5,32,350826400,0,0,0,0
transform_selected,100000,100000,6,32,354312700,0,0,0,0
binding_full_live_map,100000,100000,0,32,673779600,32,0,71303680,0
binding_full_live_map,100000,100000,1,32,668548800,32,0,71303680,0
binding_full_live_map,100000,100000,2,32,521608000,32,0,71303680,0
binding_full_live_map,100000,100000,3,32,562745100,32,0,71303680,0
binding_full_live_map,100000,100000,4,32,440532600,32,0,71303680,0
binding_full_live_map,100000,100000,5,32,414430000,32,0,71303680,0
binding_full_live_map,100000,100000,6,32,402533200,32,0,71303680,0
binding_retained_lookup,100000,100000,0,32,156842200,0,0,0,0
binding_retained_lookup,100000,100000,1,32,159410200,0,0,0,0
binding_retained_lookup,100000,100000,2,32,209491500,0,0,0,0
binding_retained_lookup,100000,100000,3,32,197635600,0,0,0,0
binding_retained_lookup,100000,100000,4,32,160818700,0,0,0,0
binding_retained_lookup,100000,100000,5,32,159751600,0,0,0,0
binding_retained_lookup,100000,100000,6,32,160231000,0,0,0,0
binding_visibility_toggle,100000,100000,0,32,425276000,0,3,29360128,29360128
binding_visibility_toggle,100000,100000,1,32,419811400,0,1,33554432,33554432
binding_visibility_toggle,100000,100000,2,32,430227300,0,1,67108864,67108864
binding_visibility_toggle,100000,100000,3,32,408377600,0,0,0,0
binding_visibility_toggle,100000,100000,4,32,417062700,0,0,0,0
binding_visibility_toggle,100000,100000,5,32,435070500,0,1,134217728,134217728
binding_visibility_toggle,100000,100000,6,32,408548600,0,0,0,0
product_selected_probe,100000,10000,0,32,42025300,0,0,0,0
product_selected_probe,100000,10000,1,32,41683700,0,0,0,0
product_selected_probe,100000,10000,2,32,41769000,0,0,0,0
product_selected_probe,100000,10000,3,32,41944700,0,0,0,0
product_selected_probe,100000,10000,4,32,42046200,0,0,0,0
product_selected_probe,100000,10000,5,32,41874400,0,0,0,0
product_selected_probe,100000,10000,6,32,41704800,0,0,0,0
transform_full_before_select,100000,10000,0,32,298607200,0,0,0,0
transform_full_before_select,100000,10000,1,32,301447000,0,0,0,0
transform_full_before_select,100000,10000,2,32,299227100,0,0,0,0
transform_full_before_select,100000,10000,3,32,302230600,0,0,0,0
transform_full_before_select,100000,10000,4,32,301056900,0,0,0,0
transform_full_before_select,100000,10000,5,32,301505400,0,0,0,0
transform_full_before_select,100000,10000,6,32,300418500,0,0,0,0
transform_selected,100000,10000,0,32,31457800,0,0,0,0
transform_selected,100000,10000,1,32,29623400,0,0,0,0
transform_selected,100000,10000,2,32,30587400,0,0,0,0
transform_selected,100000,10000,3,32,30645500,0,0,0,0
