case,n,k,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
runtime_sources,10000,10000,0,32,5364400,0,0,0,0
runtime_sources,10000,10000,1,32,5463800,0,0,0,0
runtime_sources,10000,10000,2,32,6105300,0,0,0,0
runtime_sources,10000,10000,3,32,5341900,0,0,0,0
runtime_sources,10000,10000,4,32,6139100,0,0,0,0
runtime_sources,10000,10000,5,32,5658400,0,0,0,0
runtime_sources,10000,10000,6,32,5899000,0,0,0,0
spatial_full,10000,10000,0,32,62300000,0,0,0,0
spatial_full,10000,10000,1,32,94488800,0,0,0,0
spatial_full,10000,10000,2,32,53624600,0,0,0,0
spatial_full,10000,10000,3,32,52816500,0,0,0,0
spatial_full,10000,10000,4,32,93150600,0,0,0,0
spatial_full,10000,10000,5,32,94268900,0,0,0,0
spatial_full,10000,10000,6,32,104258300,0,0,0,0
record_copy_kernel,10000,10000,0,32,354400,0,0,0,0
record_copy_kernel,10000,10000,1,32,225000,0,0,0,0
record_copy_kernel,10000,10000,2,32,221000,0,0,0,0
record_copy_kernel,10000,10000,3,32,2906000,0,0,0,0
record_copy_kernel,10000,10000,4,32,299600,0,0,0,0
record_copy_kernel,10000,10000,5,32,224900,0,0,0,0
record_copy_kernel,10000,10000,6,32,382000,0,0,0,0
record_swap_kernel,10000,10000,0,32,200,0,0,0,0
record_swap_kernel,10000,10000,1,32,1000,0,0,0,0
record_swap_kernel,10000,10000,2,32,300,0,0,0,0
record_swap_kernel,10000,10000,3,32,200,0,0,0,0
record_swap_kernel,10000,10000,4,32,200,0,0,0,0
record_swap_kernel,10000,10000,5,32,100,0,0,0,0
record_swap_kernel,10000,10000,6,32,200,0,0,0,0
adapter_full,10000,10000,0,32,120652400,0,0,0,0
adapter_full,10000,10000,1,32,127418200,0,0,0,0
adapter_full,10000,10000,2,32,97614400,0,0,0,0
adapter_full,10000,10000,3,32,64459200,0,0,0,0
adapter_full,10000,10000,4,32,70978200,0,0,0,0
adapter_full,10000,10000,5,32,79280600,0,0,0,0
adapter_full,10000,10000,6,32,66528600,0,0,0,0
product_selected_probe,10000,10000,0,32,63199800,0,0,0,0
product_selected_probe,10000,10000,1,32,65207100,0,0,0,0
product_selected_probe,10000,10000,2,32,43533200,0,0,0,0
product_selected_probe,10000,10000,3,32,43978000,0,0,0,0
product_selected_probe,10000,10000,4,32,42148600,0,0,0,0
product_selected_probe,10000,10000,5,32,43960700,0,0,0,0
product_selected_probe,10000,10000,6,32,44032800,0,0,0,0
transform_full_before_select,10000,10000,0,32,50013500,0,0,0,0
transform_full_before_select,10000,10000,1,32,49567700,0,0,0,0
transform_full_before_select,10000,10000,2,32,51816700,0,0,0,0
