"population","case","n","k","round1_ns","round2_ns","round3_ns","median_ns","allocations","reallocations","allocated_bytes","reallocated_bytes"
"10000","adapter_full","10000","10000","2477518.75","2778828.125","1764009.375","2477518.75","1","12","327680","327600"
"10000","binding_full_live_map","10000","100","191296.875","283000","243921.875","243921.875","1","0","278544","0"
"10000","binding_full_live_map","10000","1000","250575","376968.75","375771.875","375771.875","1","0","278544","0"
"10000","binding_full_live_map","10000","10000","917021.875","1216881.25","1232159.375","1216881.25","1","0","278544","0"
"10000","binding_retained_lookup","10000","100","2784.375","2790.625","4725","2790.625","0","0","0","0"
"10000","binding_retained_lookup","10000","1000","30112.5","46009.375","50590.625","46009.375","0","0","0","0"
"10000","binding_retained_lookup","10000","10000","365453.125","574971.875","603834.375","574971.875","0","0","0","0"
"10000","binding_visibility_toggle","10000","100","9525","10946.875","16018.75","10946.875","0","0.03125","896","896"
"10000","binding_visibility_toggle","10000","1000","100684.375","165931.25","119518.75","119518.75","0","0","0","0"
"10000","binding_visibility_toggle","10000","10000","1101221.875","1416550","1774006.25","1416550","0","0.03125","114688","114688"
"10000","parking_cached_copy_kernel","128","128","64.6484375","42.96875","49.0234375","49.0234375","0","0","0","0"
"10000","parking_resample","128","128","37227.5390625","44959.9609375","47771.875","44959.9609375","0","0","0","0"
"10000","product_selected_probe","10000","100","12812.5","17640.625","14175","14175","0","0","0","0"
"10000","product_selected_probe","10000","1000","130409.375","152887.5","156912.5","152887.5","0","0","0","0"
"10000","product_selected_probe","10000","10000","1374312.5","3120168.75","1593768.75","1593768.75","0","0","0","0"
"10000","record_copy_kernel","10000","10000","9362.5","6887.5","9937.5","9362.5","0","0","0","0"
"10000","record_swap_kernel","10000","10000","6.25","6.25","6.25","6.25","0","0","0","0"
"10000","runtime_sources","10000","10000","176825","138606.25","162290.625","162290.625","1","12","327680","327600"
"10000","spatial_full","10000","10000","2910956.25","2339203.125","3007334.375","2910956.25","0","0","0","0"
"10000","transform_full_before_select","10000","100","934406.25","1073734.375","1073971.875","1073734.375","0","0","0","0"
"10000","transform_full_before_select","10000","1000","939656.25","1140021.875","1060043.75","1060043.75","0","0","0","0"
"10000","transform_full_before_select","10000","10000","1619271.875","1104778.125","1075265.625","1104778.125","0","0","0","0"
"10000","transform_selected","10000","100","9103.125","9928.125","11043.75","9928.125","0","0","0","0"
"10000","transform_selected","10000","1000","91978.125","107018.75","105590.625","105590.625","0","0","0","0"
"10000","transform_selected","10000","10000","1605975","1121953.125","1136512.5","1136512.5","0","0","0","0"
"100000","adapter_full","100000","100000","14767834.375","14849240.625","18901909.375","14849240.625","1","15","2621440","2621360"
"100000","binding_full_live_map","100000","1000","3754725","5310662.5","4555537.5","4555537.5","1","0","2228240","0"
"100000","binding_full_live_map","100000","10000","4566603.125","5919378.125","5948631.25","5919378.125","1","0","2228240","0"
"100000","binding_full_live_map","100000","100000","12366712.5","18846884.375","17320696.875","17320696.875","1","0","2228240","0"
"100000","binding_retained_lookup","100000","1000","31750","50215.625","41862.5","41862.5","0","0","0","0"
"100000","binding_retained_lookup","100000","10000","423428.125","671121.875","658221.875","658221.875","0","0","0","0"
"100000","binding_retained_lookup","100000","100000","4500831.25","9003175","6781815.625","6781815.625","0","0","0","0"
"100000","binding_visibility_toggle","100000","1000","104087.5","145618.75","133393.75","133393.75","0","0","0","0"
"100000","binding_visibility_toggle","100000","10000","1083493.75","1523081.25","1442956.25","1442956.25","0","0.03125","114688","114688"
"100000","binding_visibility_toggle","100000","100000","13436375","21891409.375","18893712.5","18893712.5","0","0.03125","917504","917504"
"100000","parking_cached_copy_kernel","128","128","52.734375","44.921875","42.1875","44.921875","0","0","0","0"
"100000","parking_resample","128","128","38613.671875","51718.1640625","49206.0546875","49206.0546875","0","0","0","0"
"100000","product_selected_probe","100000","1000","131403.125","177996.875","143621.875","143621.875","0","0","0","0"
"100000","product_selected_probe","100000","10000","1355925","1737756.25","1564190.625","1564190.625","0","0","0","0"
"100000","product_selected_probe","100000","100000","13416784.375","14387428.125","17376137.5","14387428.125","0","0","0","0"
"100000","record_copy_kernel","100000","100000","156831.25","150384.375","172940.625","156831.25","0","0","0","0"
"100000","record_swap_kernel","100000","100000","6.25","6.25","6.25","6.25","0","0","0","0"
"100000","runtime_sources","100000","100000","3612850","3000678.125","2743625","3000678.125","1","15","2621440","2621360"
"100000","spatial_full","100000","100000","12690262.5","12852587.5","15013675","12852587.5","0","0","0","0"
"100000","transform_full_before_select","100000","1000","9412418.75","10823237.5","10532690.625","10532690.625","0","0","0","0"
"100000","transform_full_before_select","100000","10000","9421837.5","10647440.625","10583503.125","10583503.125","0","0","0","0"
"100000","transform_full_before_select","100000","100000","9461853.125","10258559.375","10903293.75","10258559.375","0","0","0","0"
"100000","transform_selected","100000","1000","94875","114696.875","106946.875","106946.875","0","0","0","0"
"100000","transform_selected","100000","10000","956509.375","1080509.375","1128281.25","1080509.375","0","0","0","0"
"100000","transform_selected","100000","100000","9428968.75","10181628.125","10843284.375","10181628.125","0","0","0","0"
