active,parked,commands,success_percent,order,shape,group,digest,A_n,A_p50,A_p95,A_p99,A_max,B_n,B_p50,B_p95,B_p99,B_max,Acontrol_n,Acontrol_p50,Acontrol_p95,Acontrol_p99,Acontrol_max,p50_change_percent,aa_p50_change_percent,round1_change_percent,round1_aa_percent,round2_change_percent,round2_aa_percent,round3_change_percent,round3_aa_percent
128,64,1,0,0,normal,batch,0f62a49c14344b07f944543ca66c908b9bbf8593da1c5c3cc5ca63e71d2d986c,48,6500.0,11600,13200,13200,48,6400.0,15200,26200,26200,48,5800.0,7000,11300,11300,-1.538461538461533,-10.769230769230765,0.0,-4.761904761904767,10.769230769230775,-2.3076923076923106,0.7407407407407307,-40.74074074074075
128,64,1,0,0,normal,rejected,0f62a49c14344b07f944543ca66c908b9bbf8593da1c5c3cc5ca63e71d2d986c,48,6500.0,11600,13200,13200,48,6400.0,15200,26200,26200,48,5800.0,7000,11300,11300,-1.538461538461533,-10.769230769230765,0.0,-4.761904761904767,10.769230769230775,-2.3076923076923106,0.7407407407407307,-40.74074074074075
128,64,1,100,0,normal,batch,d2625c2af8645279d9107f610ce529c9e66fdc2870a88b7049d31b71a8a821da,48,9150.0,12500,14500,14500,48,7700.0,15000,16800,16800,48,6950.0,8200,10800,10800,-15.846994535519121,-24.04371584699454,12.5,-2.777777777777779,-1.273885350318471,-10.828025477707005,-33.920704845814974,-61.23348017621145
128,64,1,100,0,normal,cold_success,d2625c2af8645279d9107f610ce529c9e66fdc2870a88b7049d31b71a8a821da,48,9150.0,12500,14500,14500,48,7700.0,15000,16800,16800,48,6950.0,8200,10800,10800,-15.846994535519121,-24.04371584699454,12.5,-2.777777777777779,-1.273885350318471,-10.828025477707005,-33.920704845814974,-61.23348017621145
128,64,16,0,0,normal,batch,0f62a49c14344b07f944543ca66c908b9bbf8593da1c5c3cc5ca63e71d2d986c,48,23750.0,37800,40600,40600,48,26200.0,41000,51700,51700,48,23150.0,24400,27500,27500,10.315789473684212,-2.5263157894736876,12.93103448275863,0.0,1.7130620985010614,0.21413276231263545,31.11510791366907,-50.899280575539564
128,64,16,0,0,normal,rejected,0f62a49c14344b07f944543ca66c908b9bbf8593da1c5c3cc5ca63e71d2d986c,768,1200.0,5700,9500,16600,768,1200.0,5700,11200,15200,768,1100.0,4300,6000,9900,0.0,-8.333333333333337,0.0,0.0,0.0,0.0,38.46153846153846,-46.15384615384615
128,64,16,50,0,normal,batch,d486cbe8ff339db668321054ee2d372ae83b962840d45a2efcddd2719c9a5088,48,65700.0,106300,1845600,1845600,48,65350.0,110000,115200,115200,48,63850.0,74500,95200,95200,-0.5327245053272422,-2.815829528158298,3.0441400304414,-1.3698630136986356,-5.3787878787878824,-2.1212121212121238,19.786910197869112,-23.28767123287672
128,64,16,50,0,normal,cold_success,d486cbe8ff339db668321054ee2d372ae83b962840d45a2efcddd2719c9a5088,48,7450.0,11200,14300,14300,48,7700.0,15200,16800,16800,48,7200.0,12400,19400,19400,3.3557046979865834,-3.3557046979865723,5.555555555555558,0.0,2.0134228187919545,-2.684563758389258,6.451612903225801,-19.999999999999996
128,64,16,50,0,normal,warm_success,d486cbe8ff339db668321054ee2d372ae83b962840d45a2efcddd2719c9a5088,336,2400.0,2700,4400,1772000,336,2100.0,3400,4400,9200,336,2400.0,2500,3000,7700,-12.5,0.0,-12.5,0.0,-8.333333333333337,0.0,-12.5,-33.333333333333336
128,64,16,50,0,normal,rejected,d486cbe8ff339db668321054ee2d372ae83b962840d45a2efcddd2719c9a5088,384,4900.0,7600,13200,1774700,384,4900.0,8200,23200,45800,384,4900.0,7300,14200,27300,0.0,0.0,0.0,0.0,-2.0408163265306145,0.0,-2.0000000000000018,-36.0
128,64,16,100,0,normal,batch,1475d98c3ade160a0844b615bfd9dffab2efa40d2e4536cd57b37be9cc2a2463,48,101250.0,145400,1871000,1871000,48,100750.0,162200,206800,206800,48,99600.0,105000,108800,108800,-0.4938271604938316,-1.6296296296296253,6.175298804780871,0.14940239043825798,-1.688182720953324,-0.6951340615690138,11.998041136141048,-32.810969637610185
128,64,16,100,0,normal,cold_success,1475d98c3ade160a0844b615bfd9dffab2efa40d2e4536cd57b37be9cc2a2463,48,7300.0,11400,13900,13900,48,7650.0,15000,30300,30300,48,7100.0,7900,11300,11300,4.794520547945202,-2.73972602739726,-2.0547945205479423,-1.3698630136986356,16.216216216216207,-2.7027027027026973,23.33333333333334,-25.33333333333333
