case,records,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
steady,0,0,32,600,0,0,0,0
steady,0,1,32,500,0,0,0,0
steady,0,2,32,500,0,0,0,0
steady,0,3,32,400,0,0,0,0
steady,0,4,32,500,0,0,0,0
steady,0,5,32,500,0,0,0,0
steady,0,6,32,500,0,0,0,0
steady,1,0,32,3400,0,0,0,0
steady,1,1,32,3300,0,0,0,0
steady,1,2,32,3400,0,0,0,0
steady,1,3,32,3500,0,0,0,0
steady,1,4,32,3400,0,0,0,0
steady,1,5,32,3400,0,0,0,0
steady,1,6,32,3400,0,0,0,0
steady,1000,0,32,3782100,0,0,0,0
steady,1000,1,32,4000500,0,0,0,0
steady,1000,2,32,3796900,0,0,0,0
steady,1000,3,32,3764900,0,0,0,0
steady,1000,4,32,3786300,0,0,0,0
steady,1000,5,32,3780700,0,0,0,0
steady,1000,6,32,3788900,0,0,0,0
steady,10000,0,32,55505300,0,0,0,0
steady,10000,1,32,55679000,0,0,0,0
steady,10000,2,32,57255400,0,0,0,0
steady,10000,3,32,55572400,0,0,0,0
steady,10000,4,32,57089300,0,0,0,0
steady,10000,5,32,57508700,0,0,0,0
steady,10000,6,32,55562000,0,0,0,0
steady,100000,0,32,619936300,0,0,0,0
steady,100000,1,32,589090000,0,0,0,0
steady,100000,2,32,579720000,0,0,0,0
steady,100000,3,32,533572900,0,0,0,0
steady,100000,4,32,380281400,0,0,0,0
steady,100000,5,32,412528400,0,0,0,0
steady,100000,6,32,484027000,0,0,0,0
cold,10000,0,1,1242000,1,0,400000,0
cold,10000,1,1,1178100,1,0,400000,0
cold,10000,2,1,1174300,1,0,400000,0
cold,10000,3,1,1183300,1,0,400000,0
cold,10000,4,1,1183200,1,0,400000,0
cold,10000,5,1,1180500,1,0,400000,0
cold,10000,6,1,1196300,1,0,400000,0
grow,100000,0,1,13518600,2,1,4400000,3960000
grow,100000,1,1,13587700,2,1,4400000,3960000
grow,100000,2,1,13493300,2,1,4400000,3960000
grow,100000,3,1,15091100,2,1,4400000,3960000
grow,100000,4,1,13625500,2,1,4400000,3960000
grow,100000,5,1,13809300,2,1,4400000,3960000
grow,100000,6,1,13669600,2,1,4400000,3960000
shrink,1000,0,32,17589700,0,0,0,0
shrink,1000,1,32,9667200,0,0,0,0
shrink,1000,2,32,3777700,0,0,0,0
shrink,1000,3,32,3780600,0,0,0,0
shrink,1000,4,32,3771800,0,0,0,0
shrink,1000,5,32,3778200,0,0,0,0
shrink,1000,6,32,3790300,0,0,0,0
alternate,10000,0,32,44060600,0,0,0,0
alternate,10000,1,32,43461400,0,0,0,0
alternate,10000,2,32,38206700,0,0,0,0
alternate,10000,3,32,37823500,0,0,0,0
alternate,10000,4,32,47682800,0,0,0,0
alternate,10000,5,32,39024000,0,0,0,0
alternate,10000,6,32,37917800,0,0,0,0
fresh_output,10000,0,32,56543000,32,0,12800000,0
fresh_output,10000,1,32,63465400,32,0,12800000,0
fresh_output,10000,2,32,39616300,32,0,12800000,0
fresh_output,10000,3,32,39582100,32,0,12800000,0
fresh_output,10000,4,32,39698900,32,0,12800000,0
fresh_output,10000,5,32,39952900,32,0,12800000,0
fresh_output,10000,6,32,43974900,32,0,12800000,0
fail_last,10000,0,32,38050000,32,0,1280,0
fail_last,10000,1,32,38045900,32,0,1280,0
fail_last,10000,2,32,38105500,32,0,1280,0
fail_last,10000,3,32,38140000,32,0,1280,0
fail_last,10000,4,32,38004300,32,0,1280,0
fail_last,10000,5,32,45420800,32,0,1280,0
fail_last,10000,6,32,38090000,32,0,1280,0
fail_last,100000,0,32,382828800,32,0,1280,0
fail_last,100000,1,32,431628100,32,0,1280,0
fail_last,100000,2,32,383605400,32,0,1280,0
fail_last,100000,3,32,385029000,32,0,1280,0
fail_last,100000,4,32,392086100,32,0,1280,0
fail_last,100000,5,32,387464900,32,0,1280,0
fail_last,100000,6,32,387031100,32,0,1280,0
retry,10000,0,32,37889200,16,0,640,0
retry,10000,1,32,37891100,16,0,640,0
retry,10000,2,32,37825600,16,0,640,0
retry,10000,3,32,37881900,16,0,640,0
retry,10000,4,32,37864100,16,0,640,0
retry,10000,5,32,37859600,16,0,640,0
retry,10000,6,32,37910300,16,0,640,0
retry,100000,0,32,379434300,16,0,640,0
retry,100000,1,32,380153900,16,0,640,0
retry,100000,2,32,381817400,16,0,640,0
retry,100000,3,32,382190500,16,0,640,0
retry,100000,4,32,380563000,16,0,640,0
retry,100000,5,32,378885400,16,0,640,0
retry,100000,6,32,381922900,16,0,640,0
parking,10000,0,32,90944900,0,0,0,0
parking,10000,1,32,90756100,0,0,0,0
parking,10000,2,32,90870500,0,0,0,0
parking,10000,3,32,90869200,0,0,0,0
parking,10000,4,32,91123300,0,0,0,0
parking,10000,5,32,92234200,0,0,0,0
parking,10000,6,32,92572000,0,0,0,0
parking,100000,0,32,913961800,0,0,0,0
parking,100000,1,32,917702500,0,0,0,0
parking,100000,2,32,913305800,0,0,0,0
parking,100000,3,32,918502100,0,0,0,0
parking,100000,4,32,917875300,0,0,0,0
parking,100000,5,32,914490000,0,0,0,0
parking,100000,6,32,920061200,0,0,0,0
retained_build,10000,0,3,4453600,2,0,800000,0
retained_build,100000,0,3,36396500,2,0,8000000,0
