size_of CanonicalPoseRecord=40 PoseInput=16 allocation=true
oracle steady 0 a536aa3cede6ea3c1f3e0357c3c60e0f216a8c89b853df13b29daa8f85065dfb
oracle steady 1 02b3bff8a921da5c5bccf5b29ba81f6a54844ca606d123ab9a07a6ce5b0f45c9
oracle steady 1000 a5db71b2dffdf00ae361238391a7540fe517252e1cc2c3b3b6ed7ff8cc5f7b4f
oracle steady 10000 1819849d15a876a3e0ff6d5e52c765e91cd8419151816fb1d5785bb7bf6ea382
oracle steady 100000 311c5f83564d7663a2c06674b7a170cf0727abfec359e08b6e9ee4c5c15b96a6
oracle cold 10000 939585ea30ada1f292aa9aef0f3ce4a0a005be4d95cb1254e9bb6b258ab78c60
oracle grow 100000 0cea195405525bdc193a61e4c2adba4215fde22c8918f51385efdc639cb23c46
oracle shrink 1000 0311d60cf1b8aaaf1c831a46155e8d336498e2839a47b0fd82283a500904c08b
oracle alternate 10000 6636da1bd7b3292507afcd8013bd13cc2ec6a2722ee40da048d797f2219f3d5a
oracle fresh_output 10000 e75b919668b6c3b72a3309004435952903b1d379eb40a4c2957526acbd3e4c5c
oracle retry 10000 24c2f8e7d874884e1b7cb01da7cfdc0b3a863515354d67b7972e8f12af603c4e
oracle retry 100000 f70f9d83834480d1a8f2689cec28fb5ff26e39438c60cba8cec2dd51a23f0eb5
oracle parking 10000 1f5565b91544d358b41e22e5859eeb1765f4383e4408d25c49add3fa87043a7d
oracle parking 100000 8df67d5c38c8ca54737e4575423fcda0980ae621041f90da243582a5c7028763
