case,records,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
steady,0,0,32,700,0,0,0,0
steady,0,1,32,500,0,0,0,0
steady,0,2,32,500,0,0,0,0
steady,0,3,32,500,0,0,0,0
steady,0,4,32,500,0,0,0,0
steady,0,5,32,500,0,0,0,0
steady,0,6,32,400,0,0,0,0
steady,1,0,32,3600,0,0,0,0
steady,1,1,32,3500,0,0,0,0
steady,1,2,32,3500,0,0,0,0
steady,1,3,32,3500,0,0,0,0
steady,1,4,32,3500,0,0,0,0
steady,1,5,32,3500,0,0,0,0
steady,1,6,32,4400,0,0,0,0
steady,1000,0,32,3790700,0,0,0,0
steady,1000,1,32,3791100,0,0,0,0
steady,1000,2,32,3795600,0,0,0,0
steady,1000,3,32,3820100,0,0,0,0
steady,1000,4,32,3809800,0,0,0,0
steady,1000,5,32,3791700,0,0,0,0
steady,1000,6,32,3963200,0,0,0,0
steady,10000,0,32,38207400,0,0,0,0
steady,10000,1,32,38096600,0,0,0,0
steady,10000,2,32,38421500,0,0,0,0
steady,10000,3,32,38141700,0,0,0,0
steady,10000,4,32,71867800,0,0,0,0
steady,10000,5,32,71307300,0,0,0,0
steady,10000,6,32,42790900,0,0,0,0
steady,100000,0,32,665846900,0,0,0,0
steady,100000,1,32,674837600,0,0,0,0
steady,100000,2,32,663402000,0,0,0,0
steady,100000,3,32,397955400,0,0,0,0
steady,100000,4,32,385956000,0,0,0,0
steady,100000,5,32,385110600,0,0,0,0
steady,100000,6,32,489791000,0,0,0,0
cold,10000,0,1,1256600,2,0,800000,0
cold,10000,1,1,1199800,2,0,800000,0
cold,10000,2,1,1206500,2,0,800000,0
cold,10000,3,1,1186800,2,0,800000,0
cold,10000,4,1,1200000,2,0,800000,0
cold,10000,5,1,1195800,2,0,800000,0
cold,10000,6,1,1195100,2,0,800000,0
grow,100000,0,1,14460800,2,4,8000000,7920000
grow,100000,1,1,14272400,2,4,8000000,7920000
grow,100000,2,1,14316600,2,4,8000000,7920000
grow,100000,3,1,14338200,2,4,8000000,7920000
grow,100000,4,1,17018000,2,4,8000000,7920000
grow,100000,5,1,14306800,2,4,8000000,7920000
grow,100000,6,1,21712100,2,4,8000000,7920000
shrink,1000,0,32,3802400,0,0,0,0
shrink,1000,1,32,3788800,0,0,0,0
shrink,1000,2,32,3795400,0,0,0,0
shrink,1000,3,32,3794000,0,0,0,0
shrink,1000,4,32,3804300,0,0,0,0
shrink,1000,5,32,3796200,0,0,0,0
shrink,1000,6,32,3789700,0,0,0,0
alternate,10000,0,32,38267300,0,0,0,0
alternate,10000,1,32,38244300,0,0,0,0
alternate,10000,2,32,38240900,0,0,0,0
alternate,10000,3,32,38158700,0,0,0,0
alternate,10000,4,32,38745400,0,0,0,0
alternate,10000,5,32,58086200,0,0,0,0
alternate,10000,6,32,38238200,0,0,0,0
fresh_output,10000,0,32,39703500,32,0,12800000,0
fresh_output,10000,1,32,39680000,32,0,12800000,0
fresh_output,10000,2,32,39826600,32,0,12800000,0
fresh_output,10000,3,32,40113200,32,0,12800000,0
fresh_output,10000,4,32,61738900,32,0,12800000,0
fresh_output,10000,5,32,68360800,32,0,12800000,0
fresh_output,10000,6,32,52247100,32,0,12800000,0
fail_last,10000,0,32,37745400,32,0,1280,0
fail_last,10000,1,32,37768200,32,0,1280,0
fail_last,10000,2,32,37797100,32,0,1280,0
fail_last,10000,3,32,37707100,32,0,1280,0
fail_last,10000,4,32,38344200,32,0,1280,0
fail_last,10000,5,32,42100600,32,0,1280,0
fail_last,10000,6,32,37715400,32,0,1280,0
fail_last,100000,0,32,387313900,32,0,1280,0
fail_last,100000,1,32,378038400,32,0,1280,0
fail_last,100000,2,32,377892000,32,0,1280,0
fail_last,100000,3,32,377710600,32,0,1280,0
fail_last,100000,4,32,377274400,32,0,1280,0
fail_last,100000,5,32,380063400,32,0,1280,0
fail_last,100000,6,32,378862200,32,0,1280,0
retry,10000,0,32,37842400,16,0,640,0
retry,10000,1,32,37869000,16,0,640,0
retry,10000,2,32,37884900,16,0,640,0
retry,10000,3,32,37844900,16,0,640,0
retry,10000,4,32,38012200,16,0,640,0
retry,10000,5,32,37896700,16,0,640,0
retry,10000,6,32,38084300,16,0,640,0
retry,100000,0,32,381275300,16,0,640,0
retry,100000,1,32,381500400,16,0,640,0
retry,100000,2,32,383203400,16,0,640,0
retry,100000,3,32,382152900,16,0,640,0
retry,100000,4,32,382286400,16,0,640,0
retry,100000,5,32,381741500,16,0,640,0
retry,100000,6,32,380345600,16,0,640,0
parking,10000,0,32,91163500,0,0,0,0
parking,10000,1,32,91225000,0,0,0,0
parking,10000,2,32,91504600,0,0,0,0
parking,10000,3,32,91732300,0,0,0,0
parking,10000,4,32,91206300,0,0,0,0
parking,10000,5,32,91664400,0,0,0,0
parking,10000,6,32,91690000,0,0,0,0
parking,100000,0,32,918097800,0,0,0,0
parking,100000,1,32,916876800,0,0,0,0
parking,100000,2,32,924053900,0,0,0,0
parking,100000,3,32,919429000,0,0,0,0
parking,100000,4,32,919608500,0,0,0,0
parking,100000,5,32,917026500,0,0,0,0
parking,100000,6,32,916817700,0,0,0,0
retained_build,10000,0,3,3582700,2,0,800000,0
retained_build,100000,0,3,36792000,2,0,8000000,0
