case,records,before_ns_per_call,after_ns_per_call,delta_pct,before_alloc_per_call,after_alloc_per_call
steady,0,15.625,15.625,0,0,0
steady,1,115.625,106.25,-8.108,0,0
steady,1000,118871.875,118418.75,-0.381,0,0
steady,10000,1748575,1259293.75,-27.982,0,0
steady,100000,17863656.25,18498103.125,3.552,0,0
cold,10000,1276400,1191600,-6.644,2,1
grow,100000,14374100,13611100,-5.308,2,2
shrink,1000,119453.125,118525,-0.777,0,0
alternate,10000,1229387.5,1186106.25,-3.521,0,0
fresh_output,10000,1254165.625,1242615.625,-0.921,1,1
fail_last,10000,1193750,1185412.5,-0.698,1,1
fail_last,100000,11978265.625,11924903.125,-0.445,1,1
retry,10000,1199287.5,1196762.5,-0.211,0.5,0.5
retry,100000,12044565.625,12013512.5,-0.258,0.5,0.5
parking,10000,2861387.5,2852203.125,-0.321,0,0
parking,100000,29063187.5,28470212.5,-2.04,0,0
retained_build,10000,1208500,1198733.33333333,-0.808,0.666666666666667,0.666666666666667
retained_build,100000,12441266.6666667,12148133.3333333,-2.356,0.666666666666667,0.666666666666667
# oracle digests identical across before/after for: alternate 10000; cold 10000; fresh_output 10000; grow 100000; parking 10000; parking 100000; retry 10000; retry 100000; shrink 1000; steady 0; steady 1; steady 1000; steady 10000; steady 100000
