case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,5766800,0,0,0,0
source_full,all_active_10000,1,32,5519200,0,0,0,0
source_full,all_active_10000,2,32,5790000,0,0,0,0
source_full,all_active_10000,3,32,5780500,0,0,0,0
source_full,all_active_10000,4,32,5765800,0,0,0,0
source_full,all_active_10000,5,32,7538600,0,0,0,0
source_full,all_active_10000,6,32,4683500,0,0,0,0
adapter_full,all_active_10000,0,32,77800900,2,12,531072,131040
adapter_full,all_active_10000,1,32,65715600,0,0,0,0
adapter_full,all_active_10000,2,32,67003200,0,0,0,0
adapter_full,all_active_10000,3,32,67434500,0,0,0,0
adapter_full,all_active_10000,4,32,63265100,0,0,0,0
adapter_full,all_active_10000,5,32,62674900,0,0,0,0
adapter_full,all_active_10000,6,32,69065200,0,0,0,0
transform_convert,all_active_10000,0,32,365100,0,0,0,0
transform_convert,all_active_10000,1,32,367400,0,0,0,0
transform_convert,all_active_10000,2,32,362300,0,0,0,0
transform_convert,all_active_10000,3,32,361100,0,0,0,0
transform_convert,all_active_10000,4,32,361900,0,0,0,0
transform_convert,all_active_10000,5,32,367900,0,0,0,0
transform_convert,all_active_10000,6,32,367300,0,0,0,0
fresh_output,all_active_10000,0,32,69008100,64,384,16994304,4193280
fresh_output,all_active_10000,1,32,72269500,64,384,16994304,4193280
fresh_output,all_active_10000,2,32,73324300,64,384,16994304,4193280
fresh_output,all_active_10000,3,32,70450700,64,384,16994304,4193280
fresh_output,all_active_10000,4,32,69664900,64,384,16994304,4193280
fresh_output,all_active_10000,5,32,78330900,64,384,16994304,4193280
fresh_output,all_active_10000,6,32,71384900,64,384,16994304,4193280
alternate,all_active_10000,0,32,65510500,2,12,531072,131040
alternate,all_active_10000,1,32,68815600,0,0,0,0
alternate,all_active_10000,2,32,72160600,0,0,0,0
alternate,all_active_10000,3,32,79549500,0,0,0,0
alternate,all_active_10000,4,32,65920500,0,0,0,0
alternate,all_active_10000,5,32,74234900,0,0,0,0
alternate,all_active_10000,6,32,69283400,0,0,0,0
source_full,all_active_100000,0,32,60637300,0,0,0,0
source_full,all_active_100000,1,32,70758500,0,0,0,0
source_full,all_active_100000,2,32,70644800,0,0,0,0
source_full,all_active_100000,3,32,66395500,0,0,0,0
source_full,all_active_100000,4,32,67732400,0,0,0,0
source_full,all_active_100000,5,32,73185600,0,0,0,0
source_full,all_active_100000,6,32,66995000,0,0,0,0
adapter_full,all_active_100000,0,32,565509900,2,15,5048576,1048544
adapter_full,all_active_100000,1,32,442396300,0,0,0,0
adapter_full,all_active_100000,2,32,438897200,0,0,0,0
adapter_full,all_active_100000,3,32,442706700,0,0,0,0
adapter_full,all_active_100000,4,32,457613100,0,0,0,0
adapter_full,all_active_100000,5,32,457454900,0,0,0,0
