case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,4819100,0,0,0,0
source_full,all_active_10000,1,32,4699700,0,0,0,0
source_full,all_active_10000,2,32,4783100,0,0,0,0
source_full,all_active_10000,3,32,4529500,0,0,0,0
source_full,all_active_10000,4,32,4139700,0,0,0,0
source_full,all_active_10000,5,32,4682400,0,0,0,0
source_full,all_active_10000,6,32,4394500,0,0,0,0
adapter_full,all_active_10000,0,32,50864800,0,0,0,0
adapter_full,all_active_10000,1,32,68029600,0,0,0,0
adapter_full,all_active_10000,2,32,80841000,0,0,0,0
adapter_full,all_active_10000,3,32,71309700,0,0,0,0
adapter_full,all_active_10000,4,32,107763200,0,0,0,0
adapter_full,all_active_10000,5,32,109194000,0,0,0,0
adapter_full,all_active_10000,6,32,83684300,0,0,0,0
transform_convert,all_active_10000,0,32,486000,0,0,0,0
transform_convert,all_active_10000,1,32,563700,0,0,0,0
transform_convert,all_active_10000,2,32,549200,0,0,0,0
transform_convert,all_active_10000,3,32,1289500,0,0,0,0
transform_convert,all_active_10000,4,32,537400,0,0,0,0
transform_convert,all_active_10000,5,32,950800,0,0,0,0
transform_convert,all_active_10000,6,32,541300,0,0,0,0
fresh_output,all_active_10000,0,32,73862900,0,0,0,0
fresh_output,all_active_10000,1,32,96737200,0,0,0,0
fresh_output,all_active_10000,2,32,69984500,0,0,0,0
fresh_output,all_active_10000,3,32,96856700,0,0,0,0
fresh_output,all_active_10000,4,32,100354600,0,0,0,0
fresh_output,all_active_10000,5,32,100421700,0,0,0,0
fresh_output,all_active_10000,6,32,84416500,0,0,0,0
alternate,all_active_10000,0,32,98940100,0,0,0,0
alternate,all_active_10000,1,32,80413700,0,0,0,0
alternate,all_active_10000,2,32,89612200,0,0,0,0
alternate,all_active_10000,3,32,70846300,0,0,0,0
alternate,all_active_10000,4,32,73123000,0,0,0,0
alternate,all_active_10000,5,32,83336100,0,0,0,0
alternate,all_active_10000,6,32,111501800,0,0,0,0
source_full,all_active_100000,0,32,92776900,0,0,0,0
source_full,all_active_100000,1,32,105328700,0,0,0,0
source_full,all_active_100000,2,32,103477500,0,0,0,0
source_full,all_active_100000,3,32,101530300,0,0,0,0
source_full,all_active_100000,4,32,59224900,0,0,0,0
source_full,all_active_100000,5,32,58166400,0,0,0,0
source_full,all_active_100000,6,32,116177700,0,0,0,0
adapter_full,all_active_100000,0,32,590406800,0,0,0,0
adapter_full,all_active_100000,1,32,605391400,0,0,0,0
adapter_full,all_active_100000,2,32,595774100,0,0,0,0
adapter_full,all_active_100000,3,32,593537500,0,0,0,0
adapter_full,all_active_100000,4,32,577833200,0,0,0,0
adapter_full,all_active_100000,5,32,588675600,0,0,0,0
adapter_full,all_active_100000,6,32,596576000,0,0,0,0
transform_convert,all_active_100000,0,32,5470800,0,0,0,0
transform_convert,all_active_100000,1,32,5131800,0,0,0,0
transform_convert,all_active_100000,2,32,6135600,0,0,0,0
transform_convert,all_active_100000,3,32,5711000,0,0,0,0
transform_convert,all_active_100000,4,32,6495200,0,0,0,0
transform_convert,all_active_100000,5,32,6742400,0,0,0,0
transform_convert,all_active_100000,6,32,5653500,0,0,0,0
fresh_output,all_active_100000,0,32,605614800,0,0,0,0
fresh_output,all_active_100000,1,32,624276800,0,0,0,0
fresh_output,all_active_100000,2,32,759240300,0,0,0,0
fresh_output,all_active_100000,3,32,844674100,0,0,0,0
fresh_output,all_active_100000,4,32,716751700,0,0,0,0
fresh_output,all_active_100000,5,32,647918600,0,0,0,0
fresh_output,all_active_100000,6,32,611410100,0,0,0,0
alternate,all_active_100000,0,32,611878600,0,0,0,0
alternate,all_active_100000,1,32,593283800,0,0,0,0
alternate,all_active_100000,2,32,585072700,0,0,0,0
alternate,all_active_100000,3,32,576287800,0,0,0,0
alternate,all_active_100000,4,32,571617100,0,0,0,0
alternate,all_active_100000,5,32,576684700,0,0,0,0
alternate,all_active_100000,6,32,569835400,0,0,0,0
source_full,mixed_parking_10000,0,32,12056600,0,0,0,0
source_full,mixed_parking_10000,1,32,13058800,0,0,0,0
source_full,mixed_parking_10000,2,32,11471700,0,0,0,0
source_full,mixed_parking_10000,3,32,12357300,0,0,0,0
source_full,mixed_parking_10000,4,32,12151100,0,0,0,0
source_full,mixed_parking_10000,5,32,11712700,0,0,0,0
source_full,mixed_parking_10000,6,32,11890000,0,0,0,0
adapter_full,mixed_parking_10000,0,32,39509000,0,0,0,0
adapter_full,mixed_parking_10000,1,32,42310900,0,0,0,0
adapter_full,mixed_parking_10000,2,32,42647600,0,0,0,0
adapter_full,mixed_parking_10000,3,32,70753000,0,0,0,0
adapter_full,mixed_parking_10000,4,32,43279700,0,0,0,0
adapter_full,mixed_parking_10000,5,32,41297000,0,0,0,0
adapter_full,mixed_parking_10000,6,32,40352100,0,0,0,0
transform_convert,mixed_parking_10000,0,32,341000,0,0,0,0
transform_convert,mixed_parking_10000,1,32,326200,0,0,0,0
transform_convert,mixed_parking_10000,2,32,282500,0,0,0,0
transform_convert,mixed_parking_10000,3,32,301000,0,0,0,0
transform_convert,mixed_parking_10000,4,32,288700,0,0,0,0
transform_convert,mixed_parking_10000,5,32,312000,0,0,0,0
transform_convert,mixed_parking_10000,6,32,197900,0,0,0,0
source_full,mixed_parking_100000,0,32,173439500,0,0,0,0
source_full,mixed_parking_100000,1,32,175977800,0,0,0,0
source_full,mixed_parking_100000,2,32,165966300,0,0,0,0
source_full,mixed_parking_100000,3,32,165723600,0,0,0,0
source_full,mixed_parking_100000,4,32,173015500,0,0,0,0
source_full,mixed_parking_100000,5,32,172489100,0,0,0,0
source_full,mixed_parking_100000,6,32,175449200,0,0,0,0
adapter_full,mixed_parking_100000,0,32,447591400,0,0,0,0
adapter_full,mixed_parking_100000,1,32,470132400,0,0,0,0
