case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,5196300,0,0,0,0
source_full,all_active_10000,1,32,4885700,0,0,0,0
source_full,all_active_10000,2,32,4843400,0,0,0,0
source_full,all_active_10000,3,32,7078700,0,0,0,0
source_full,all_active_10000,4,32,4772700,0,0,0,0
source_full,all_active_10000,5,32,4826500,0,0,0,0
source_full,all_active_10000,6,32,5551400,0,0,0,0
adapter_full,all_active_10000,0,32,53099000,0,0,0,0
adapter_full,all_active_10000,1,32,73123300,0,0,0,0
adapter_full,all_active_10000,2,32,70875800,0,0,0,0
adapter_full,all_active_10000,3,32,68123400,0,0,0,0
adapter_full,all_active_10000,4,32,83870300,0,0,0,0
adapter_full,all_active_10000,5,32,67534800,0,0,0,0
adapter_full,all_active_10000,6,32,83146900,0,0,0,0
transform_convert,all_active_10000,0,32,434300,0,0,0,0
transform_convert,all_active_10000,1,32,361900,0,0,0,0
transform_convert,all_active_10000,2,32,368700,0,0,0,0
transform_convert,all_active_10000,3,32,359600,0,0,0,0
transform_convert,all_active_10000,4,32,357100,0,0,0,0
transform_convert,all_active_10000,5,32,359800,0,0,0,0
transform_convert,all_active_10000,6,32,381200,0,0,0,0
fresh_output,all_active_10000,0,32,95034000,0,0,0,0
fresh_output,all_active_10000,1,32,79753500,0,0,0,0
fresh_output,all_active_10000,2,32,91911400,0,0,0,0
fresh_output,all_active_10000,3,32,93220800,0,0,0,0
fresh_output,all_active_10000,4,32,58487600,0,0,0,0
fresh_output,all_active_10000,5,32,56333700,0,0,0,0
fresh_output,all_active_10000,6,32,76811100,0,0,0,0
alternate,all_active_10000,0,32,83787300,0,0,0,0
alternate,all_active_10000,1,32,70664900,0,0,0,0
alternate,all_active_10000,2,32,86227900,0,0,0,0
alternate,all_active_10000,3,32,71400600,0,0,0,0
alternate,all_active_10000,4,32,67693300,0,0,0,0
alternate,all_active_10000,5,32,69218300,0,0,0,0
alternate,all_active_10000,6,32,83696500,0,0,0,0
source_full,all_active_100000,0,32,129234700,0,0,0,0
source_full,all_active_100000,1,32,138854600,0,0,0,0
source_full,all_active_100000,2,32,112016700,0,0,0,0
source_full,all_active_100000,3,32,117669800,0,0,0,0
source_full,all_active_100000,4,32,116504100,0,0,0,0
source_full,all_active_100000,5,32,129418400,0,0,0,0
source_full,all_active_100000,6,32,85363900,0,0,0,0
adapter_full,all_active_100000,0,32,600033800,0,0,0,0
adapter_full,all_active_100000,1,32,584458200,0,0,0,0
adapter_full,all_active_100000,2,32,515841000,0,0,0,0
adapter_full,all_active_100000,3,32,525923900,0,0,0,0
adapter_full,all_active_100000,4,32,527811300,0,0,0,0
adapter_full,all_active_100000,5,32,482130300,0,0,0,0
adapter_full,all_active_100000,6,32,479392000,0,0,0,0
transform_convert,all_active_100000,0,32,4218500,0,0,0,0
transform_convert,all_active_100000,1,32,3863000,0,0,0,0
transform_convert,all_active_100000,2,32,3878500,0,0,0,0
transform_convert,all_active_100000,3,32,4525200,0,0,0,0
transform_convert,all_active_100000,4,32,4531200,0,0,0,0
transform_convert,all_active_100000,5,32,3860500,0,0,0,0
transform_convert,all_active_100000,6,32,4260300,0,0,0,0
fresh_output,all_active_100000,0,32,513362800,0,0,0,0
fresh_output,all_active_100000,1,32,511235100,0,0,0,0
fresh_output,all_active_100000,2,32,509914600,0,0,0,0
fresh_output,all_active_100000,3,32,507373700,0,0,0,0
fresh_output,all_active_100000,4,32,504673700,0,0,0,0
fresh_output,all_active_100000,5,32,512126300,0,0,0,0
fresh_output,all_active_100000,6,32,531838900,0,0,0,0
alternate,all_active_100000,0,32,483585300,0,0,0,0
alternate,all_active_100000,1,32,481006800,0,0,0,0
alternate,all_active_100000,2,32,488356500,0,0,0,0
alternate,all_active_100000,3,32,484677800,0,0,0,0
alternate,all_active_100000,4,32,505262500,0,0,0,0
alternate,all_active_100000,5,32,486857600,0,0,0,0
alternate,all_active_100000,6,32,500555700,0,0,0,0
source_full,mixed_parking_10000,0,32,17425300,0,0,0,0
source_full,mixed_parking_10000,1,32,10911300,0,0,0,0
source_full,mixed_parking_10000,2,32,10255000,0,0,0,0
source_full,mixed_parking_10000,3,32,9636500,0,0,0,0
source_full,mixed_parking_10000,4,32,10574500,0,0,0,0
source_full,mixed_parking_10000,5,32,10776500,0,0,0,0
source_full,mixed_parking_10000,6,32,9556200,0,0,0,0
adapter_full,mixed_parking_10000,0,32,98185300,0,0,0,0
adapter_full,mixed_parking_10000,1,32,57133700,0,0,0,0
adapter_full,mixed_parking_10000,2,32,38297200,0,0,0,0
adapter_full,mixed_parking_10000,3,32,62656200,0,0,0,0
adapter_full,mixed_parking_10000,4,32,33938200,0,0,0,0
adapter_full,mixed_parking_10000,5,32,33146100,0,0,0,0
adapter_full,mixed_parking_10000,6,32,32815200,0,0,0,0
transform_convert,mixed_parking_10000,0,32,184600,0,0,0,0
transform_convert,mixed_parking_10000,1,32,183400,0,0,0,0
transform_convert,mixed_parking_10000,2,32,189100,0,0,0,0
transform_convert,mixed_parking_10000,3,32,187300,0,0,0,0
transform_convert,mixed_parking_10000,4,32,183500,0,0,0,0
transform_convert,mixed_parking_10000,5,32,183500,0,0,0,0
transform_convert,mixed_parking_10000,6,32,183700,0,0,0,0
source_full,mixed_parking_100000,0,32,156889100,0,0,0,0
source_full,mixed_parking_100000,1,32,157546100,0,0,0,0
source_full,mixed_parking_100000,2,32,154207800,0,0,0,0
source_full,mixed_parking_100000,3,32,146568700,0,0,0,0
