case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,9871500,32,384,10485760,10483200
source_full,all_active_10000,1,32,13723000,32,384,10485760,10483200
source_full,all_active_10000,2,32,9185200,32,384,10485760,10483200
source_full,all_active_10000,3,32,27831600,32,384,10485760,10483200
source_full,all_active_10000,4,32,9946800,32,384,10485760,10483200
source_full,all_active_10000,5,32,10941500,32,384,10485760,10483200
source_full,all_active_10000,6,32,9322700,32,384,10485760,10483200
adapter_full,all_active_10000,0,32,83266100,32,384,10485760,10483200
adapter_full,all_active_10000,1,32,81376800,32,384,10485760,10483200
adapter_full,all_active_10000,2,32,65897300,32,384,10485760,10483200
adapter_full,all_active_10000,3,32,64931300,32,384,10485760,10483200
adapter_full,all_active_10000,4,32,81963000,32,384,10485760,10483200
adapter_full,all_active_10000,5,32,63156200,32,384,10485760,10483200
adapter_full,all_active_10000,6,32,68684600,32,384,10485760,10483200
transform_convert,all_active_10000,0,32,362900,0,0,0,0
transform_convert,all_active_10000,1,32,360400,0,0,0,0
transform_convert,all_active_10000,2,32,958000,0,0,0,0
transform_convert,all_active_10000,3,32,360200,0,0,0,0
transform_convert,all_active_10000,4,32,371300,0,0,0,0
transform_convert,all_active_10000,5,32,359300,0,0,0,0
transform_convert,all_active_10000,6,32,359300,0,0,0,0
fresh_output,all_active_10000,0,32,75208400,96,384,25845760,10483200
fresh_output,all_active_10000,1,32,90402500,96,384,25845760,10483200
fresh_output,all_active_10000,2,32,86600700,96,384,25845760,10483200
fresh_output,all_active_10000,3,32,88168800,96,384,25845760,10483200
fresh_output,all_active_10000,4,32,93326800,96,384,25845760,10483200
fresh_output,all_active_10000,5,32,112391800,96,384,25845760,10483200
fresh_output,all_active_10000,6,32,84029400,96,384,25845760,10483200
alternate,all_active_10000,0,32,63953400,32,384,10485760,10483200
alternate,all_active_10000,1,32,63358900,32,384,10485760,10483200
alternate,all_active_10000,2,32,83657400,32,384,10485760,10483200
alternate,all_active_10000,3,32,62886600,32,384,10485760,10483200
alternate,all_active_10000,4,32,64291900,32,384,10485760,10483200
alternate,all_active_10000,5,32,80562800,32,384,10485760,10483200
alternate,all_active_10000,6,32,63439800,32,384,10485760,10483200
source_full,all_active_100000,0,32,109794100,32,480,83886080,83883520
source_full,all_active_100000,1,32,111616300,32,480,83886080,83883520
source_full,all_active_100000,2,32,119136900,32,480,83886080,83883520
source_full,all_active_100000,3,32,114768100,32,480,83886080,83883520
source_full,all_active_100000,4,32,110158100,32,480,83886080,83883520
source_full,all_active_100000,5,32,74728700,32,480,83886080,83883520
source_full,all_active_100000,6,32,76361200,32,480,83886080,83883520
adapter_full,all_active_100000,0,32,492683600,32,480,83886080,83883520
adapter_full,all_active_100000,1,32,527298500,32,480,83886080,83883520
