case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,22871300,32,384,10485760,10483200
source_full,all_active_10000,1,32,16716000,32,384,10485760,10483200
source_full,all_active_10000,2,32,24796400,32,384,10485760,10483200
source_full,all_active_10000,3,32,18153500,32,384,10485760,10483200
source_full,all_active_10000,4,32,17918400,32,384,10485760,10483200
source_full,all_active_10000,5,32,19046100,32,384,10485760,10483200
source_full,all_active_10000,6,32,17059800,32,384,10485760,10483200
adapter_full,all_active_10000,0,32,73938500,33,384,10885760,10483200
adapter_full,all_active_10000,1,32,51594600,32,384,10485760,10483200
adapter_full,all_active_10000,2,32,52487000,32,384,10485760,10483200
adapter_full,all_active_10000,3,32,55767600,32,384,10485760,10483200
adapter_full,all_active_10000,4,32,98441700,32,384,10485760,10483200
adapter_full,all_active_10000,5,32,90512900,32,384,10485760,10483200
adapter_full,all_active_10000,6,32,99406100,32,384,10485760,10483200
transform_convert,all_active_10000,0,32,2138100,0,0,0,0
transform_convert,all_active_10000,1,32,365900,0,0,0,0
transform_convert,all_active_10000,2,32,363800,0,0,0,0
transform_convert,all_active_10000,3,32,363800,0,0,0,0
transform_convert,all_active_10000,4,32,370900,0,0,0,0
transform_convert,all_active_10000,5,32,550500,0,0,0,0
transform_convert,all_active_10000,6,32,557500,0,0,0,0
fresh_output,all_active_10000,0,32,115753000,96,384,25845760,10483200
fresh_output,all_active_10000,1,32,96325600,96,384,25845760,10483200
fresh_output,all_active_10000,2,32,105542600,96,384,25845760,10483200
fresh_output,all_active_10000,3,32,90612500,96,384,25845760,10483200
fresh_output,all_active_10000,4,32,92276100,96,384,25845760,10483200
fresh_output,all_active_10000,5,32,92771900,96,384,25845760,10483200
fresh_output,all_active_10000,6,32,84654300,96,384,25845760,10483200
alternate,all_active_10000,0,32,64433100,33,384,10885760,10483200
alternate,all_active_10000,1,32,69124300,32,384,10485760,10483200
alternate,all_active_10000,2,32,76121100,32,384,10485760,10483200
alternate,all_active_10000,3,32,62846600,32,384,10485760,10483200
alternate,all_active_10000,4,32,68283600,32,384,10485760,10483200
alternate,all_active_10000,5,32,72909300,32,384,10485760,10483200
alternate,all_active_10000,6,32,77060700,32,384,10485760,10483200
source_full,all_active_100000,0,32,84435500,32,480,83886080,83883520
source_full,all_active_100000,1,32,69108600,32,480,83886080,83883520
source_full,all_active_100000,2,32,75231500,32,480,83886080,83883520
source_full,all_active_100000,3,32,74459700,32,480,83886080,83883520
source_full,all_active_100000,4,32,68670900,32,480,83886080,83883520
source_full,all_active_100000,5,32,68531200,32,480,83886080,83883520
source_full,all_active_100000,6,32,76494900,32,480,83886080,83883520
adapter_full,all_active_100000,0,32,478117200,33,480,87886080,83883520
adapter_full,all_active_100000,1,32,479643100,32,480,83886080,83883520
adapter_full,all_active_100000,2,32,483960700,32,480,83886080,83883520
adapter_full,all_active_100000,3,32,474710800,32,480,83886080,83883520
adapter_full,all_active_100000,4,32,479326000,32,480,83886080,83883520
adapter_full,all_active_100000,5,32,480283500,32,480,83886080,83883520
adapter_full,all_active_100000,6,32,477831500,32,480,83886080,83883520
transform_convert,all_active_100000,0,32,4970000,0,0,0,0
transform_convert,all_active_100000,1,32,3873700,0,0,0,0
transform_convert,all_active_100000,2,32,4716200,0,0,0,0
transform_convert,all_active_100000,3,32,4500800,0,0,0,0
transform_convert,all_active_100000,4,32,4908800,0,0,0,0
transform_convert,all_active_100000,5,32,3967300,0,0,0,0
transform_convert,all_active_100000,6,32,4027700,0,0,0,0
fresh_output,all_active_100000,0,32,498676200,96,480,237486080,83883520
fresh_output,all_active_100000,1,32,496164500,96,480,237486080,83883520
fresh_output,all_active_100000,2,32,513654600,96,480,237486080,83883520
fresh_output,all_active_100000,3,32,490303500,96,480,237486080,83883520
fresh_output,all_active_100000,4,32,501112500,96,480,237486080,83883520
fresh_output,all_active_100000,5,32,502329500,96,480,237486080,83883520
fresh_output,all_active_100000,6,32,510765800,96,480,237486080,83883520
alternate,all_active_100000,0,32,455215700,33,480,87886080,83883520
alternate,all_active_100000,1,32,453916400,32,480,83886080,83883520
alternate,all_active_100000,2,32,504702200,32,480,83886080,83883520
alternate,all_active_100000,3,32,508038800,32,480,83886080,83883520
alternate,all_active_100000,4,32,517493600,32,480,83886080,83883520
alternate,all_active_100000,5,32,495203700,32,480,83886080,83883520
alternate,all_active_100000,6,32,500738300,32,480,83886080,83883520
source_full,mixed_parking_10000,0,32,10545500,32,352,5242880,5240320
source_full,mixed_parking_10000,1,32,10266300,32,352,5242880,5240320
source_full,mixed_parking_10000,2,32,11072800,32,352,5242880,5240320
source_full,mixed_parking_10000,3,32,10536300,32,352,5242880,5240320
source_full,mixed_parking_10000,4,32,12196500,32,352,5242880,5240320
source_full,mixed_parking_10000,5,32,12689400,32,352,5242880,5240320
source_full,mixed_parking_10000,6,32,10944000,32,352,5242880,5240320
adapter_full,mixed_parking_10000,0,32,33872200,33,352,5448000,5240320
adapter_full,mixed_parking_10000,1,32,32540300,32,352,5242880,5240320
adapter_full,mixed_parking_10000,2,32,31528600,32,352,5242880,5240320
adapter_full,mixed_parking_10000,3,32,34552000,32,352,5242880,5240320
adapter_full,mixed_parking_10000,4,32,35323600,32,352,5242880,5240320
adapter_full,mixed_parking_10000,5,32,34630000,32,352,5242880,5240320
adapter_full,mixed_parking_10000,6,32,34944900,32,352,5242880,5240320
transform_convert,mixed_parking_10000,0,32,205300,0,0,0,0
transform_convert,mixed_parking_10000,1,32,193000,0,0,0,0
transform_convert,mixed_parking_10000,2,32,206300,0,0,0,0
transform_convert,mixed_parking_10000,3,32,246700,0,0,0,0
transform_convert,mixed_parking_10000,4,32,193600,0,0,0,0
transform_convert,mixed_parking_10000,5,32,223000,0,0,0,0
transform_convert,mixed_parking_10000,6,32,218100,0,0,0,0
source_full,mixed_parking_100000,0,32,154240200,32,448,41943040,41940480
source_full,mixed_parking_100000,1,32,152453300,32,448,41943040,41940480
source_full,mixed_parking_100000,2,32,160502100,32,448,41943040,41940480
source_full,mixed_parking_100000,3,32,156767300,32,448,41943040,41940480
source_full,mixed_parking_100000,4,32,155377500,32,448,41943040,41940480
source_full,mixed_parking_100000,5,32,149966900,32,448,41943040,41940480
source_full,mixed_parking_100000,6,32,145406100,32,448,41943040,41940480
adapter_full,mixed_parking_100000,0,32,380008700,33,448,43948160,41940480
adapter_full,mixed_parking_100000,1,32,373762400,32,448,41943040,41940480
adapter_full,mixed_parking_100000,2,32,380763500,32,448,41943040,41940480
adapter_full,mixed_parking_100000,3,32,381615000,32,448,41943040,41940480
adapter_full,mixed_parking_100000,4,32,347153100,32,448,41943040,41940480
adapter_full,mixed_parking_100000,5,32,376199600,32,448,41943040,41940480
adapter_full,mixed_parking_100000,6,32,343786300,32,448,41943040,41940480
transform_convert,mixed_parking_100000,0,32,2218200,0,0,0,0
transform_convert,mixed_parking_100000,1,32,2112000,0,0,0,0
transform_convert,mixed_parking_100000,2,32,1944700,0,0,0,0
transform_convert,mixed_parking_100000,3,32,2351100,0,0,0,0
transform_convert,mixed_parking_100000,4,32,1971400,0,0,0,0
transform_convert,mixed_parking_100000,5,32,1933700,0,0,0,0
transform_convert,mixed_parking_100000,6,32,1966200,0,0,0,0
source_full,high_completed_10000,0,32,1850000,32,256,655360,652800
source_full,high_completed_10000,1,32,1801200,32,256,655360,652800
source_full,high_completed_10000,2,32,1812200,32,256,655360,652800
source_full,high_completed_10000,3,32,1786700,32,256,655360,652800
source_full,high_completed_10000,4,32,1875500,32,256,655360,652800
source_full,high_completed_10000,5,32,2166100,32,256,655360,652800
source_full,high_completed_10000,6,32,2619100,32,256,655360,652800
adapter_full,high_completed_10000,0,32,7115700,33,256,695360,652800
adapter_full,high_completed_10000,1,32,5779800,32,256,655360,652800
adapter_full,high_completed_10000,2,32,5558000,32,256,655360,652800
adapter_full,high_completed_10000,3,32,6932000,32,256,655360,652800
adapter_full,high_completed_10000,4,32,5796200,32,256,655360,652800
adapter_full,high_completed_10000,5,32,5581700,32,256,655360,652800
adapter_full,high_completed_10000,6,32,6948200,32,256,655360,652800
transform_convert,high_completed_10000,0,32,37100,0,0,0,0
transform_convert,high_completed_10000,1,32,44000,0,0,0,0
transform_convert,high_completed_10000,2,32,37000,0,0,0,0
transform_convert,high_completed_10000,3,32,37100,0,0,0,0
transform_convert,high_completed_10000,4,32,37100,0,0,0,0
transform_convert,high_completed_10000,5,32,37300,0,0,0,0
transform_convert,high_completed_10000,6,32,37200,0,0,0,0
source_full,sparse_presentable_10000,0,32,23271600,32,160,81920,79360
source_full,sparse_presentable_10000,1,32,16950500,32,160,81920,79360
source_full,sparse_presentable_10000,2,32,17552400,32,160,81920,79360
source_full,sparse_presentable_10000,3,32,16672200,32,160,81920,79360
source_full,sparse_presentable_10000,4,32,16487800,32,160,81920,79360
source_full,sparse_presentable_10000,5,32,14554800,32,160,81920,79360
source_full,sparse_presentable_10000,6,32,14101400,32,160,81920,79360
adapter_full,sparse_presentable_10000,0,32,14990500,33,160,85920,79360
adapter_full,sparse_presentable_10000,1,32,14624500,32,160,81920,79360
adapter_full,sparse_presentable_10000,2,32,14664600,32,160,81920,79360
adapter_full,sparse_presentable_10000,3,32,14726700,32,160,81920,79360
adapter_full,sparse_presentable_10000,4,32,15902100,32,160,81920,79360
adapter_full,sparse_presentable_10000,5,32,18262200,32,160,81920,79360
adapter_full,sparse_presentable_10000,6,32,17825700,32,160,81920,79360
transform_convert,sparse_presentable_10000,0,32,4200,0,0,0,0
transform_convert,sparse_presentable_10000,1,32,4000,0,0,0,0
transform_convert,sparse_presentable_10000,2,32,4000,0,0,0,0
transform_convert,sparse_presentable_10000,3,32,4000,0,0,0,0
transform_convert,sparse_presentable_10000,4,32,4000,0,0,0,0
transform_convert,sparse_presentable_10000,5,32,4000,0,0,0,0
transform_convert,sparse_presentable_10000,6,32,4000,0,0,0,0
cold,cold_probe,0,1,198600,4,8,84480,20400
cold,cold_probe,1,1,203800,4,8,84480,20400
cold,cold_probe,2,1,236000,4,8,84480,20400
cold,cold_probe,3,1,202500,4,8,84480,20400
cold,cold_probe,4,1,218400,4,8,84480,20400
cold,cold_probe,5,1,208400,4,8,84480,20400
cold,cold_probe,6,1,217400,4,8,84480,20400
