case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,14894200,0,0,0,0
source_full,all_active_10000,1,32,13443900,0,0,0,0
source_full,all_active_10000,2,32,13462600,0,0,0,0
source_full,all_active_10000,3,32,13285800,0,0,0,0
source_full,all_active_10000,4,32,15266800,0,0,0,0
source_full,all_active_10000,5,32,14657300,0,0,0,0
source_full,all_active_10000,6,32,13055200,0,0,0,0
adapter_full,all_active_10000,0,32,72644000,0,0,0,0
adapter_full,all_active_10000,1,32,90114100,0,0,0,0
adapter_full,all_active_10000,2,32,75608800,0,0,0,0
adapter_full,all_active_10000,3,32,78752200,0,0,0,0
adapter_full,all_active_10000,4,32,73918600,0,0,0,0
adapter_full,all_active_10000,5,32,81325900,0,0,0,0
adapter_full,all_active_10000,6,32,73371500,0,0,0,0
transform_convert,all_active_10000,0,32,369600,0,0,0,0
transform_convert,all_active_10000,1,32,371900,0,0,0,0
transform_convert,all_active_10000,2,32,368900,0,0,0,0
transform_convert,all_active_10000,3,32,392300,0,0,0,0
transform_convert,all_active_10000,4,32,439100,0,0,0,0
transform_convert,all_active_10000,5,32,368900,0,0,0,0
transform_convert,all_active_10000,6,32,372700,0,0,0,0
fresh_output,all_active_10000,0,32,101756900,0,0,0,0
fresh_output,all_active_10000,1,32,88052600,0,0,0,0
fresh_output,all_active_10000,2,32,96280600,0,0,0,0
fresh_output,all_active_10000,3,32,110339300,0,0,0,0
fresh_output,all_active_10000,4,32,102117500,0,0,0,0
fresh_output,all_active_10000,5,32,121090900,0,0,0,0
fresh_output,all_active_10000,6,32,104484400,0,0,0,0
alternate,all_active_10000,0,32,77478400,0,0,0,0
alternate,all_active_10000,1,32,81686200,0,0,0,0
alternate,all_active_10000,2,32,78407300,0,0,0,0
alternate,all_active_10000,3,32,80178400,0,0,0,0
alternate,all_active_10000,4,32,88321000,0,0,0,0
alternate,all_active_10000,5,32,80720900,0,0,0,0
alternate,all_active_10000,6,32,79347900,0,0,0,0
source_full,all_active_100000,0,32,101146000,0,0,0,0
source_full,all_active_100000,1,32,78918300,0,0,0,0
source_full,all_active_100000,2,32,91092100,0,0,0,0
source_full,all_active_100000,3,32,78722300,0,0,0,0
source_full,all_active_100000,4,32,82378200,0,0,0,0
source_full,all_active_100000,5,32,76291700,0,0,0,0
source_full,all_active_100000,6,32,68352600,0,0,0,0
adapter_full,all_active_100000,0,32,478203300,0,0,0,0
adapter_full,all_active_100000,1,32,485773000,0,0,0,0
adapter_full,all_active_100000,2,32,501159800,0,0,0,0
adapter_full,all_active_100000,3,32,491158600,0,0,0,0
adapter_full,all_active_100000,4,32,479909800,0,0,0,0
adapter_full,all_active_100000,5,32,489999900,0,0,0,0
adapter_full,all_active_100000,6,32,507734000,0,0,0,0
transform_convert,all_active_100000,0,32,4303200,0,0,0,0
transform_convert,all_active_100000,1,32,10729900,0,0,0,0
transform_convert,all_active_100000,2,32,9369200,0,0,0,0
transform_convert,all_active_100000,3,32,5716700,0,0,0,0
transform_convert,all_active_100000,4,32,6562200,0,0,0,0
transform_convert,all_active_100000,5,32,6458500,0,0,0,0
transform_convert,all_active_100000,6,32,6524600,0,0,0,0
fresh_output,all_active_100000,0,32,509280200,0,0,0,0
fresh_output,all_active_100000,1,32,521090500,0,0,0,0
fresh_output,all_active_100000,2,32,514682200,0,0,0,0
fresh_output,all_active_100000,3,32,525862800,0,0,0,0
fresh_output,all_active_100000,4,32,522086100,0,0,0,0
fresh_output,all_active_100000,5,32,515840100,0,0,0,0
fresh_output,all_active_100000,6,32,538237600,0,0,0,0
alternate,all_active_100000,0,32,606487100,0,0,0,0
alternate,all_active_100000,1,32,528568800,0,0,0,0
alternate,all_active_100000,2,32,537356400,0,0,0,0
alternate,all_active_100000,3,32,498452200,0,0,0,0
alternate,all_active_100000,4,32,512331400,0,0,0,0
alternate,all_active_100000,5,32,481326000,0,0,0,0
alternate,all_active_100000,6,32,498299000,0,0,0,0
source_full,mixed_parking_10000,0,32,14273300,0,0,0,0
source_full,mixed_parking_10000,1,32,11760400,0,0,0,0
source_full,mixed_parking_10000,2,32,11349200,0,0,0,0
source_full,mixed_parking_10000,3,32,11518400,0,0,0,0
source_full,mixed_parking_10000,4,32,11945800,0,0,0,0
source_full,mixed_parking_10000,5,32,11662400,0,0,0,0
source_full,mixed_parking_10000,6,32,10324900,0,0,0,0
adapter_full,mixed_parking_10000,0,32,35889000,0,0,0,0
adapter_full,mixed_parking_10000,1,32,34526800,0,0,0,0
adapter_full,mixed_parking_10000,2,32,33349900,0,0,0,0
adapter_full,mixed_parking_10000,3,32,35321700,0,0,0,0
adapter_full,mixed_parking_10000,4,32,35028500,0,0,0,0
adapter_full,mixed_parking_10000,5,32,34545100,0,0,0,0
adapter_full,mixed_parking_10000,6,32,34091600,0,0,0,0
transform_convert,mixed_parking_10000,0,32,274800,0,0,0,0
transform_convert,mixed_parking_10000,1,32,274900,0,0,0,0
transform_convert,mixed_parking_10000,2,32,270700,0,0,0,0
transform_convert,mixed_parking_10000,3,32,282700,0,0,0,0
transform_convert,mixed_parking_10000,4,32,274200,0,0,0,0
transform_convert,mixed_parking_10000,5,32,271500,0,0,0,0
transform_convert,mixed_parking_10000,6,32,274600,0,0,0,0
source_full,mixed_parking_100000,0,32,157247700,0,0,0,0
source_full,mixed_parking_100000,1,32,156435800,0,0,0,0
source_full,mixed_parking_100000,2,32,205563200,0,0,0,0
source_full,mixed_parking_100000,3,32,161155200,0,0,0,0
source_full,mixed_parking_100000,4,32,154217500,0,0,0,0
source_full,mixed_parking_100000,5,32,152813300,0,0,0,0
source_full,mixed_parking_100000,6,32,160676000,0,0,0,0
adapter_full,mixed_parking_100000,0,32,386087400,0,0,0,0
adapter_full,mixed_parking_100000,1,32,375032900,0,0,0,0
adapter_full,mixed_parking_100000,2,32,358492200,0,0,0,0
adapter_full,mixed_parking_100000,3,32,364172400,0,0,0,0
adapter_full,mixed_parking_100000,4,32,357528000,0,0,0,0
adapter_full,mixed_parking_100000,5,32,360289600,0,0,0,0
adapter_full,mixed_parking_100000,6,32,350736400,0,0,0,0
transform_convert,mixed_parking_100000,0,32,2191100,0,0,0,0
transform_convert,mixed_parking_100000,1,32,2612700,0,0,0,0
transform_convert,mixed_parking_100000,2,32,1911700,0,0,0,0
transform_convert,mixed_parking_100000,3,32,2002600,0,0,0,0
transform_convert,mixed_parking_100000,4,32,2113900,0,0,0,0
transform_convert,mixed_parking_100000,5,32,1908100,0,0,0,0
transform_convert,mixed_parking_100000,6,32,2472300,0,0,0,0
source_full,high_completed_10000,0,32,2490900,0,0,0,0
source_full,high_completed_10000,1,32,2514800,0,0,0,0
source_full,high_completed_10000,2,32,2809400,0,0,0,0
source_full,high_completed_10000,3,32,2856400,0,0,0,0
source_full,high_completed_10000,4,32,2684200,0,0,0,0
source_full,high_completed_10000,5,32,2324600,0,0,0,0
source_full,high_completed_10000,6,32,2287100,0,0,0,0
adapter_full,high_completed_10000,0,32,6427700,0,0,0,0
adapter_full,high_completed_10000,1,32,6810400,0,0,0,0
adapter_full,high_completed_10000,2,32,6315600,0,0,0,0
adapter_full,high_completed_10000,3,32,6454200,0,0,0,0
adapter_full,high_completed_10000,4,32,6523200,0,0,0,0
adapter_full,high_completed_10000,5,32,6684600,0,0,0,0
adapter_full,high_completed_10000,6,32,6417100,0,0,0,0
transform_convert,high_completed_10000,0,32,37200,0,0,0,0
transform_convert,high_completed_10000,1,32,40600,0,0,0,0
transform_convert,high_completed_10000,2,32,37200,0,0,0,0
transform_convert,high_completed_10000,3,32,44900,0,0,0,0
transform_convert,high_completed_10000,4,32,44700,0,0,0,0
transform_convert,high_completed_10000,5,32,37200,0,0,0,0
transform_convert,high_completed_10000,6,32,37100,0,0,0,0
source_full,sparse_presentable_10000,0,32,16969700,0,0,0,0
source_full,sparse_presentable_10000,1,32,17698100,0,0,0,0
source_full,sparse_presentable_10000,2,32,18071700,0,0,0,0
source_full,sparse_presentable_10000,3,32,17198400,0,0,0,0
source_full,sparse_presentable_10000,4,32,18261400,0,0,0,0
source_full,sparse_presentable_10000,5,32,17146500,0,0,0,0
source_full,sparse_presentable_10000,6,32,16815600,0,0,0,0
adapter_full,sparse_presentable_10000,0,32,18162800,0,0,0,0
adapter_full,sparse_presentable_10000,1,32,17578000,0,0,0,0
adapter_full,sparse_presentable_10000,2,32,15636000,0,0,0,0
adapter_full,sparse_presentable_10000,3,32,19529300,0,0,0,0
adapter_full,sparse_presentable_10000,4,32,17290400,0,0,0,0
adapter_full,sparse_presentable_10000,5,32,16909300,0,0,0,0
adapter_full,sparse_presentable_10000,6,32,16241300,0,0,0,0
transform_convert,sparse_presentable_10000,0,32,16200,0,0,0,0
transform_convert,sparse_presentable_10000,1,32,3800,0,0,0,0
transform_convert,sparse_presentable_10000,2,32,3700,0,0,0,0
transform_convert,sparse_presentable_10000,3,32,3800,0,0,0,0
transform_convert,sparse_presentable_10000,4,32,3700,0,0,0,0
transform_convert,sparse_presentable_10000,5,32,3700,0,0,0,0
transform_convert,sparse_presentable_10000,6,32,3700,0,0,0,0
cold,cold_probe,0,1,177600,0,0,0,0
cold,cold_probe,1,1,181600,0,0,0,0
cold,cold_probe,2,1,203700,0,0,0,0
cold,cold_probe,3,1,218700,0,0,0,0
cold,cold_probe,4,1,145000,0,0,0,0
cold,cold_probe,5,1,228100,0,0,0,0
cold,cold_probe,6,1,223600,0,0,0,0
