case,dataset,before_ns,after_ns,delta_pct,before_alloc,after_alloc,before_realloc,after_realloc
adapter_full,all_active_10000,3126453.125,2549596.875,-18.451,1,0,12,0
adapter_full,all_active_100000,15229128.125,14574734.375,-4.297,1,0,15,0
adapter_full,high_completed_10000,189203.125,212187.5,12.148,1,0,8,0
adapter_full,mixed_parking_10000,1042265.625,1023043.75,-1.844,1,0,11,0
adapter_full,mixed_parking_100000,11362315.625,11191971.875,-1.499,1,0,14,0
adapter_full,sparse_presentable_10000,529231.25,590800,11.634,1,0,5,0
alternate,all_active_10000,2662928.125,2300575,-13.607,1,0,12,0
alternate,all_active_100000,15485378.125,14448868.75,-6.693,1,0,15,0
cold,cold_probe,204000,188700,-7.5,4,3,8,16
fresh_output,all_active_10000,3371509.375,2572706.25,-23.693,3,2,12,12
fresh_output,all_active_100000,16033753.125,15650087.5,-2.393,3,2,15,15
source_full,all_active_10000,159387.5,154753.125,-2.908,1,0,12,0
source_full,all_active_100000,2749756.25,2512034.375,-8.645,1,0,15,0
source_full,high_completed_10000,67818.75,81181.25,19.703,1,0,8,0
source_full,mixed_parking_10000,371259.375,326493.75,-12.058,1,0,11,0
source_full,mixed_parking_100000,4634340.625,4323690.625,-6.703,1,0,14,0
source_full,sparse_presentable_10000,545693.75,556134.375,1.913,1,0,5,0
transform_convert,all_active_10000,11665.625,15615.625,33.86,0,0,0,0
transform_convert,all_active_100000,152803.125,150968.75,-1.2,0,0,0,0
transform_convert,high_completed_10000,1606.25,1453.125,-9.533,0,0,0,0
transform_convert,mixed_parking_10000,6040.625,6462.5,6.984,0,0,0,0
transform_convert,mixed_parking_100000,69971.875,69162.5,-1.157,0,0,0,0
transform_convert,sparse_presentable_10000,159.375,153.125,-3.922,0,0,0,0
# oracle digests identical across before/after for: adapter all_active_10000; adapter all_active_100000; adapter high_completed_10000; adapter mixed_parking_10000; adapter mixed_parking_100000; adapter sparse_presentable_10000; alternate all_active_10000; alternate all_active_100000; cold cold; source all_active_10000; source all_active_100000; source high_completed_10000; source mixed_parking_10000; source mixed_parking_100000; source sparse_presentable_10000
